epoch,step,test_accuracy,test_loss,train_loss,val_accuracy,val_loss
0,0,,,1.819029688835144,,
0,0,,,,0.17000000178813934,1.6988141536712646
1,1,,,1.639188528060913,,
1,1,,,,0.17499999701976776,1.530821681022644
2,2,,,1.4845272302627563,,
2,2,,,,0.16899999976158142,1.3883745670318604
3,3,,,1.3538707494735718,,
3,3,,,,0.1720000058412552,1.2696069478988647
4,4,,,1.245284080505371,,
4,4,,,,0.164000004529953,1.172042727470398
5,5,,,1.156262993812561,,
5,5,,,,0.15800000727176666,1.092748761177063
6,6,,,1.0839143991470337,,
6,6,,,,0.15000000596046448,1.0286022424697876
7,7,,,1.0252366065979004,,
7,7,,,,0.1469999998807907,0.9766278862953186
8,8,,,0.9774327874183655,,
8,8,,,,0.1379999965429306,0.9342498779296875
9,9,,,0.9381369352340698,,
9,9,,,,0.13300000131130219,0.8993910551071167
10,10,,,0.9054783582687378,,
10,10,,,,0.13899999856948853,0.8704455494880676
11,11,,,0.8780342936515808,,
11,11,,,,0.1550000011920929,0.8461953401565552
12,12,,,0.8547394871711731,,
12,12,,,,0.17800000309944153,0.8257192969322205
13,13,,,0.8347956538200378,,
13,13,,,,0.19300000369548798,0.8083055019378662
14,14,,,0.817608118057251,,
14,14,,,,0.2029999941587448,0.7934322357177734
15,15,,,0.8027136921882629,,
15,15,,,,0.22599999606609344,0.7806795835494995
16,16,,,0.7897606492042542,,
16,16,,,,0.2409999966621399,0.7696983218193054
17,17,,,0.7784733772277832,,
17,17,,,,0.2529999911785126,0.7602201700210571
18,18,,,0.7685889005661011,,
18,18,,,,0.2750000059604645,0.7519910931587219
19,19,,,0.7599198818206787,,
19,19,,,,0.2750000059604645,0.7448189854621887
20,20,,,0.7522944808006287,,
20,20,,,,0.296999990940094,0.738539457321167
21,21,,,0.7455588579177856,,
21,21,,,,0.31200000643730164,0.7330024838447571
22,22,,,0.7395861148834229,,
22,22,,,,0.3179999887943268,0.7281126976013184
23,23,,,0.7342770099639893,,
